record_type,selection_role,scenario,model_name,split,MAE,RMSE,R2,MAE_improvement_vs_baseline_pct,RMSE_improvement_vs_baseline_pct,uses_feed_variables,uses_target_lags,operational_leakage_risk,model_class,model_params,feature_columns_path,saved_model_path,artifacts,selected_model_metadata_path
validation_candidate,Alternative benchmark,Feed ON + TargetLags OFF,Extra Trees Regressor,validation,0.9457,1.1878,-0.3169,-19.59,-14.49,True,False,"Lower — no lagged lab input, but feed availability must hold online",ExtraTreesRegressor,"{""bootstrap"": false, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed ON + TargetLags OFF,Ridge,validation,1.1027,1.4561,-0.9789,-39.44,-40.35,True,False,"Lower — no lagged lab input, but feed availability must hold online",Ridge,"{""alpha"": 1.0, ""copy_X"": true, ""fit_intercept"": true, ""max_iter"": null, ""positive"": false, ""random_state"": null, ""solver"": ""auto"", ""tol"": 0.0001}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed OFF + TargetLags ON,Extra Trees Regressor,validation,0.4868,0.6651,0.5872,38.44,35.89,False,True,Conditional — valid if the latest lab result is already available before inference,ExtraTreesRegressor,"{""bootstrap"": false, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed OFF + TargetLags ON,Random Forest,validation,0.501,0.6708,0.58,36.65,35.34,False,True,Conditional — valid if the latest lab result is already available before inference,RandomForestRegressor,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 10, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 10, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed OFF + TargetLags ON,LightGBM,validation,0.5856,0.7479,0.4779,25.95,27.91,False,True,Conditional — valid if the latest lab result is already available before inference,LGBMRegressor,"{""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 500, ""n_jobs"": -1, ""num_leaves"": 63, ""objective"": null, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbosity"": -1}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed OFF + TargetLags ON,Ridge,validation,0.5705,0.7503,0.4746,27.86,27.68,False,True,Conditional — valid if the latest lab result is already available before inference,Ridge,"{""alpha"": 1.0, ""copy_X"": true, ""fit_intercept"": true, ""max_iter"": null, ""positive"": false, ""random_state"": null, ""solver"": ""auto"", ""tol"": 0.0001}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed OFF + TargetLags ON,XGBoost,validation,0.6585,0.8157,0.379,16.73,21.38,False,True,Conditional — valid if the latest lab result is already available before inference,XGBRegressor,"{""objective"": ""reg:squarederror"", ""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": null, ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.05, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 6, ""max_leaves"": null, ""min_child_weight"": null, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 500, ""n_jobs"": -1, ""num_parallel_tree"": null, ""random_state"": 42, ""reg_alpha"": null, ""reg_lambda"": null, ""sampling_method"": null, ""scale_pos_weight"": null, ""subsample"": 0.8, ""tree_method"": null, ""validate_parameters"": null, ""verbosity"": 0}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed OFF + TargetLags ON,Baseline (Mean),validation,0.7925,1.0364,-0.0024,-0.21,0.11,False,True,Conditional — valid if the latest lab result is already available before inference,DummyRegressor,"{""constant"": null, ""quantile"": null, ""strategy"": ""mean""}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed OFF + TargetLags OFF,Baseline (Mean),validation,0.7925,1.0364,-0.0024,-0.21,0.11,False,False,Lower — no lagged lab input and process variables only,DummyRegressor,"{""constant"": null, ""quantile"": null, ""strategy"": ""mean""}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed OFF + TargetLags OFF,Random Forest,validation,0.8256,1.0373,-0.0042,-4.4,0.02,False,False,Lower — no lagged lab input and process variables only,RandomForestRegressor,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 10, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 10, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed OFF + TargetLags OFF,LightGBM,validation,0.8015,1.0587,-0.0461,-1.35,-2.04,False,False,Lower — no lagged lab input and process variables only,LGBMRegressor,"{""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 1.0, ""importance_type"": ""split"", ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 500, ""n_jobs"": -1, ""num_leaves"": 63, ""objective"": null, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 1.0, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbosity"": -1}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed OFF + TargetLags OFF,Extra Trees Regressor,validation,0.927,1.1701,-0.2778,-17.22,-12.78,False,False,Lower — no lagged lab input and process variables only,ExtraTreesRegressor,"{""bootstrap"": false, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed OFF + TargetLags OFF,XGBoost,validation,0.9557,1.1812,-0.3021,-20.85,-13.85,False,False,Lower — no lagged lab input and process variables only,XGBRegressor,"{""objective"": ""reg:squarederror"", ""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": null, ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.05, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 6, ""max_leaves"": null, ""min_child_weight"": null, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 500, ""n_jobs"": -1, ""num_parallel_tree"": null, ""random_state"": 42, ""reg_alpha"": null, ""reg_lambda"": null, ""sampling_method"": null, ""scale_pos_weight"": null, ""subsample"": 0.8, ""tree_method"": null, ""validate_parameters"": null, ""verbosity"": 0}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
validation_candidate,Alternative benchmark,Feed OFF + TargetLags OFF,Ridge,validation,1.124,1.4768,-1.0354,-42.13,-42.34,False,False,Lower — no lagged lab input and process variables only,Ridge,"{""alpha"": 1.0, ""copy_X"": true, ""fit_intercept"": true, ""max_iter"": null, ""positive"": false, ""random_state"": null, ""solver"": ""auto"", ""tol"": 0.0001}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\validation_sensitivity_table.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\performance_vs_operational_leakage_risk.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\mlflow_leaderboard.csv""]",
final_evaluation,best_statistical_model,Feed ON + TargetLags ON,Extra Trees Regressor,test,0.5573,0.7496,0.6083,43.91,37.74,True,True,Best validation RMSE overall. This role is purely statistical and does not by itself decide whether lagged lab inputs are operationally acceptable.,ExtraTreesRegressor,"{""bootstrap"": false, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",,,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\final_selected_models_test_metrics.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\models\\selected\\feature_columns.json"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\models\\selected\\model_lagged_lab_assumption.pkl"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\models\\selected\\model_strict_no_lab_input.pkl""]",
final_evaluation,recommended_model_with_lagged_lab_assumption,Feed ON + TargetLags ON,Extra Trees Regressor,test,0.5573,0.7496,0.6083,43.91,37.74,True,True,Recommended primary model under the explicit assumption that the latest laboratory result is already available before inference. Only past target lags (`shift(1)` or greater) are used; no contemporaneous target is used as predictor.,ExtraTreesRegressor,"{""bootstrap"": false, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",C:\Users\ADMIN\MINSUR\minsur_prediction\models\selected\feature_columns.json,C:\Users\ADMIN\MINSUR\minsur_prediction\models\selected\model_lagged_lab_assumption.pkl,"[""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\reports\\metrics\\final_selected_models_test_metrics.csv"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\models\\selected\\feature_columns.json"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\models\\selected\\model_lagged_lab_assumption.pkl"", ""C:\\Users\\ADMIN\\MINSUR\\minsur_prediction\\models\\selected\\model_strict_no_lab_input.pkl""]",
